we  need  cheese ,  bread ,  and  ham.	what  kind  of  cheese? 
,what  kind  of  cheese?	swiss. 
,swiss.	of  course ,  the  cheese  with  holes  in  it. 
,of  course ,  the  cheese  with  holes  in  it.	i  never  used  to  buy  swiss  cheese. 
,i  never  used  to  buy  swiss  cheese.	why  not? 
,why  not?	i  didn't  want  to  pay  for  the  holes. 
,i  need  some  pants.	i  thought  you  just  bought  a  pair. 
,i  thought  you  just  bought  a  pair.	i  did. 
,i  did.	what's  wrong  with  them  so  soon? 
,what's  wrong  with  them  so  soon?	the  pants  are  fine ,  but  the  pocket  has  a  huge  hole  in  it. 
,the  pants  are  fine ,  but  the  pocket  has  a  huge  hole  in  it.	you  shouldn't  carry  your  keys  and  pens  in  your  pocket. 
,you  shouldn't  carry  your  keys  and  pens  in  your  pocket.	but  that's  what  pockets  are  for. 
,but  that's  what  pockets  are  for.	you  should  carry  them  in  a  purse. 
,you  should  carry  them  in  a  purse.	i'm  a  man ,  and  men  don't  carry  purses! 
,i'm  a  man ,  and  men  don't  carry  purses!	well ,  you  should  buy  pants  with  stronger  pockets. 
,well ,  you  should  buy  pants  with  stronger  pockets.	i  would  if  i  could  find  someone  who  makes  strong  pockets. 
,i  would  if  i  could  find  someone  who  makes  strong  pockets.	try  a  google  search  online. 
,what  are  those  wipes  for?	you  use  them  to  wipe  the  handle  of  the  shopping  cart. 
,you  use  them  to  wipe  the  handle  of  the  shopping  cart.	that's  a  great  idea. 
,that's  a  great  idea.	yes ,  all  the  markets  just  started  offering  wipes  to  shoppers. 
,yes ,  all  the  markets  just  started  offering  wipes  to  shoppers.	i'm  going  to  take  five  wipes. 
,i'm  going  to  take  five  wipes.	what  do  you  need  five  of  them  for? 
,what  do  you  need  five  of  them  for?	one  to  wipe  the  handle ,  and  the  others  to  wipe  the  produce. 
,one  to  wipe  the  handle ,  and  the  others  to  wipe  the  produce.	what's  the  matter  with  the  produce? 
,what's  the  matter  with  the  produce?	do  you  think  the  bananas  fell  from  the  sky? 
,do  you  think  the  bananas  fell  from  the  sky?	what  do  you  mean? 
,what  do  you  mean?	i  mean ,  someone  used  their  dirty  hands  to  pick  the  bananas ,  the  apples ,  and  the  oranges. 
,i  mean ,  someone  used  their  dirty  hands  to  pick  the  bananas ,  the  apples ,  and  the  oranges.	well ,  you  better  save  a  wipe  for  the  dirty  dollar  bills  you're  going  to  pay  with. 
,did  you  go  to  the  99  cents  store?	yes ,  i  did. 
,yes ,  i  did.	what  did  you  buy? 
,what  did  you  buy?	well ,  i  got  a  lot  of  good  deals ,  as  usual. 
,well ,  i  got  a  lot  of  good  deals ,  as  usual.	like  what? 
,like  what?	well ,  a  dozen  large  eggs  were  only  99  cents. 
,well ,  a  dozen  large  eggs  were  only  99  cents.	that's  a  good  deal. 
,that's  a  good  deal.	and  a  one-pound  tub  of  soft  butter  was  the  same  price. 
,and  a  one-pound  tub  of  soft  butter  was  the  same  price.	another  good  deal. 
,another  good  deal.	but  the  best  deal  was  five  pounds  of  potatoes  for  99  cents. 
,but  the  best  deal  was  five  pounds  of  potatoes  for  99  cents.	i  don't  know  how  that  store  makes  money. 
,i  don't  know  how  that  store  makes  money.	neither  do  i ,  but  they're  doing  something  right. 
,i  need  a  new  computer.	what's  the  matter  with  yours? 
,what's  the  matter  with  yours?	it's  six  years  old. 
