i  don't  have  long  distance  service  with  my  home  phone.	so  how  do  you  make  long  distance  calls? 
,so  how  do  you  make  long  distance  calls?	i  use  a  calling  card. 
,i  use  a  calling  card.	where  do  you  get  that? 
,where  do  you  get  that?	i  buy  it  at  the  dollar  store. 
,i  buy  it  at  the  dollar  store.	how  much  is  it? 
,how  much  is  it?	it's  one  dollar  for  100  minutes. 
,it's  one  dollar  for  100  minutes.	that's  only  a  penny  a  minute! 
,that's  only  a  penny  a  minute!	it's  a  great  price.  but  you  have  to  dial  a  lot  of  numbers. 
,it's  a  great  price.  but  you  have  to  dial  a  lot  of  numbers.	how  many? 
,how  many?	first  you  dial  seven  numbers ,  then  ten  numbers ,  then  ten  more  numbers. 
,first  you  dial  seven  numbers ,  then  ten  numbers ,  then  ten  more  numbers.	yikes.  i  think  i'll  keep  my  long  distance  service. 
,do  you  go  to  college?	yes ,  i  do. 
,yes ,  i  do.	what  college  do  you  go  to? 
,what  college  do  you  go  to?	i  go  to  pasadena  city  college. 
,i  go  to  pasadena  city  college.	do  you  like  it? 
,do  you  like  it?	oh ,  yes ,  i  really  like  it. 
,oh ,  yes ,  i  really  like  it.	why  do  you  like  it? 
,why  do  you  like  it?	because  it  has  great  teachers. 
,because  it  has  great  teachers.	what  else? 
,what  else?	i  like  all  my  classmates ,  too. 
,i  like  all  my  classmates ,  too.	anything  else? 
,anything  else?	yes.  it's  not  expensive! 
,i  lost  my  new  pen.	where  did  you  lose  it? 
,where  did  you  lose  it?	i  don't  know. 
,i  don't  know.	when  did  you  lose  it? 
,when  did  you  lose  it?	i  think  i  lost  it  today.  i  used  it  yesterday. 
,i  think  i  lost  it  today.  i  used  it  yesterday.	did  you  check  all  your  pockets? 
,did  you  check  all  your  pockets?	i  checked  all  my  pockets. 
,i  checked  all  my  pockets.	did  you  look  in  your  desk? 
,did  you  look  in  your  desk?	yes.  it  isn't  there ,  either. 
,yes.  it  isn't  there ,  either.	it's  probably  around  somewhere. 
,it's  probably  around  somewhere.	oh ,  well ,  it  only  cost  me  a  dollar. 
,oh ,  well ,  it  only  cost  me  a  dollar.	only  a  dollar?  don't  even  look  for  it. 
,gravity  is  very  important.	what  is  gravity? 
,what  is  gravity?	it's  the  force  that  pulls  everything  down. 
,it's  the  force  that  pulls  everything  down.	i  don't  understand. 
,i  don't  understand.	if  you  pour  water  into  a  glass ,  the  water  goes  down  into  the  glass. 
,if  you  pour  water  into  a  glass ,  the  water  goes  down  into  the  glass.	of  course  it  does. 
,of  course  it  does.	without  gravity ,  the  water  would  go  up. 
,without  gravity ,  the  water  would  go  up.	you're  joking. 
,you're  joking.	without  gravity ,  you  would  go  up. 
,without  gravity ,  you  would  go  up.	what  do  you  mean? 
,what  do  you  mean?	you  would  float  into  the  sky  like  a  balloon. 
,you  would  float  into  the  sky  like  a  balloon.	that  would  be  fun! 
,i  can't  read  my  book.	turn  on  the  light. 
,turn  on  the  light.	the  light  is  on. 
,the  light  is  on.	open  the  book. 
,open  the  book.	the  book  is  open. 
,the  book  is  open.	see  an  eye  doctor. 
,see  an  eye  doctor.	that's  what  i  need  to  do. 
