i  saw  you  looking  at  that  woman.	what  woman? 
,what  woman?	you  know ,  that  woman  with  the  big  boobs. 
,you  know ,  that  woman  with  the  big  boobs.	i  was  not  looking  at  her. 
,i  was  not  looking  at  her.	you  were ,  too. 
,you  were ,  too.	i'm  not  interested  in  her. 
,i'm  not  interested  in  her.	then  why  were  you  looking  at  her? 
,then  why  were  you  looking  at  her?	i  was  looking  at  something  else. 
,i  was  looking  at  something  else.	oh ,  really?  then  spend  tonight  looking  at  the  sofa. 
,would  you  like  to  go  on  a  blind  date?	you  must  be  joking. 
,you  must  be  joking.	no ,  i'm  serious. 
,no ,  i'm  serious.	i  don't  want  to  date  a  blind  woman. 
,i  don't  want  to  date  a  blind  woman.	a  blind  date  doesn't  mean  that  she  is  blind! 
,a  blind  date  doesn't  mean  that  she  is  blind!	what  does  it  mean? 
,what  does  it  mean?	a  blind  date  is  a  date  with  someone  you  don't  know. 
,a  blind  date  is  a  date  with  someone  you  don't  know.	why  would  i  date  someone  i  don't  even  know? 
,why  would  i  date  someone  i  don't  even  know?	to  try  something  new  and  exciting. 
,to  try  something  new  and  exciting.	what  if  i  don't  like  her? 
,what  if  i  don't  like  her?	then  you  don't  date  her  again. 
,i  have  a  date  tomorrow  night.	really?  who  with? 
,really?  who  with?	a  girl  i  met  at  the  market. 
,a  girl  i  met  at  the  market.	you  met  a  girl  at  the  supermarket? 
,you  met  a  girl  at  the  supermarket?	she  was  standing  behind  me  in  a  really  slow  line  at  the  checkout  counter. 
,she  was  standing  behind  me  in  a  really  slow  line  at  the  checkout  counter.	what  did  you  say  to  her? 
,what  did  you  say  to  her?	i  had  two  pineapples  in  my  cart ,  and  she  asked  where  i  had  found  them. 
,i  had  two  pineapples  in  my  cart ,  and  she  asked  where  i  had  found  them.	she  asked  you  about  your  pineapples? 
,she  asked  you  about  your  pineapples?	i  told  her  i  had  gotten  the  last  two  on  the  shelf ,  but  i  offered  her  one  of  mine. 
,i  told  her  i  had  gotten  the  last  two  on  the  shelf ,  but  i  offered  her  one  of  mine.	that  was  nice  of  you. 
,that  was  nice  of  you.	she  asked  me  how  she  could  return  the  favor ,  so  i  asked  her  out. 
,she  asked  me  how  she  could  return  the  favor ,  so  i  asked  her  out.	sometimes  a  slow  line  can  be  a  good  thing. 
,did  you  have  a  date  friday  night?	yes ,  in  fact ,  i  did. 
,yes ,  in  fact ,  i  did.	who  did  you  go  out  with? 
,who  did  you  go  out  with?	a  man  i  met  in  a  coffee  shop. 
