why  is  that?	i  don't  feel  like  going. 
,i  don't  feel  like  going.	why  not? 
,why  not?	i  really  can't  stand  going  to  parties. 
,i  really  can't  stand  going  to  parties.	i  understand ,  i  guess. 
,i  understand ,  i  guess.	sorry  about  that. 
,what's  happening?	not  a  lot ,  what  about  you? 
,not  a  lot ,  what  about  you?	i'm  having  a  party  next  saturday. 
,i'm  having  a  party  next  saturday.	that's  nice. 
,that's  nice.	are  you  going  to  be  there? 
,are  you  going  to  be  there?	i  don't  think  so. 
,i  don't  think  so.	is  there  a  reason  why? 
,is  there  a  reason  why?	i  just  really  don't  want  to  go. 
,i  just  really  don't  want  to  go.	how  come? 
,how  come?	i  don't  really  like  parties. 
,i  don't  really  like  parties.	i  wish  you  would  go ,  but  that's  okay. 
,what's  up?	nothing  much ,  what's  going  on? 
,nothing  much ,  what's  going  on?	i'm  having  a  party  this  friday. 
,i'm  having  a  party  this  friday.	oh ,  really?  that's  nice. 
,oh ,  really?  that's  nice.	i  wanted  to  see  if  you  wanted  to  come. 
,i  wanted  to  see  if  you  wanted  to  come.	this  friday?  sorry ,  i  already  have  plans. 
,this  friday?  sorry ,  i  already  have  plans.	doing  what? 
,doing  what?	i'm  going  to  dinner  with  my  family. 
,i'm  going  to  dinner  with  my  family.	i  really  wanted  you  to  come ,  but  i  understand. 
,i  really  wanted  you  to  come ,  but  i  understand.	yeah ,  maybe  next  time. 
,yeah ,  maybe  next  time.	i'll  hold  you  to  that. 
,i'll  hold  you  to  that.	sounds  like  a  plan. 
,hey ,  what's  good  with  you?	not  a  lot.  what  about  you? 
,not  a  lot.  what  about  you?	i'm  throwing  a  party  on  friday. 
,i'm  throwing  a  party  on  friday.	that  sounds  like  fun. 
,that  sounds  like  fun.	do  you  think  you  can  come? 
,do  you  think  you  can  come?	i'm  sorry.  i'm  already  doing  something  this  friday. 
,i'm  sorry.  i'm  already  doing  something  this  friday.	what  are  you  going  to  be  doing? 
,what  are  you  going  to  be  doing?	my  family  and  i  are  going  to  dinner. 
,my  family  and  i  are  going  to  dinner.	i  was  hoping  you  would  come. 
,i  was  hoping  you  would  come.	i'll  definitely  try  to  make  it  the  next  time. 
,i'll  definitely  try  to  make  it  the  next  time.	i'd  better  see  you  there. 
,i'd  better  see  you  there.	all  right.  i'll  see  you  next  time. 
,what's  going  on?	nothing  really.  how  about  you? 
,nothing  really.  how  about  you?	a  lot ,  like  the  party  i'm  having  on  friday. 
,a  lot ,  like  the  party  i'm  having  on  friday.	well ,  that's  cool. 
,well ,  that's  cool.	will  you  be  able  to  make  it? 
,will  you  be  able  to  make  it?	i'm  busy  this  friday.  i'm  sorry. 
,i'm  busy  this  friday.  i'm  sorry.	what  do  you  have  to  do? 
,what  do  you  have  to  do?	i'm  having  dinner  with  my  family 
,i'm  having  dinner  with  my  family	maybe  you  can  come  next  time. 
,maybe  you  can  come  next  time.	i'll  make  sure  and  come  to  your  next  party. 
,i'll  make  sure  and  come  to  your  next  party.	i'll  look  for  you  at  my  next  party. 
,it  was  nice  talking  to  you.	why  are  you  trying  to  rush  me  off  the  phone? 
,why  are  you  trying  to  rush  me  off  the  phone?	i  really  have  to  go. 
,i  really  have  to  go.	why?  i  still  wanted  to  talk  to  you. 
