the  tape  recorder  is  broken.	then  you  should  watch  the  rerun. 
,then  you  should  watch  the  rerun.	why?  i'm  watching  the  original. 
,why?  i'm  watching  the  original.	but  you'll  be  asleep  in  about  one  minute. 
,but  you'll  be  asleep  in  about  one  minute.	i'm  just  yawning  because  the  commercials  are  on. 
,i'm  just  yawning  because  the  commercials  are  on.	okay.  i'll  tell  you  how  the  show  ends. 
,okay.  i'll  tell  you  how  the  show  ends.	zzz. 
,it's  sunday.	so? 
,so?	you  know  what  that  means. 
,you  know  what  that  means.	i  forgot. 
,i  forgot.	sunday  means  we  go  to  church. 
,sunday  means  we  go  to  church.	oh ,  yeah. 
,oh ,  yeah.	put  on  a  coat  and  tie. 
,put  on  a  coat  and  tie.	why? 
,why?	to  show  respect  to  god  and  others. 
,to  show  respect  to  god  and  others.	i'm  glad  sunday  is  only  once  a  week. 
,i'm  glad  sunday  is  only  once  a  week.	i  hope  god  didn't  hear  that. 
,i  hope  god  didn't  hear  that.	he'll  forgive  me. 
,did  you  feed  the  cat?	i'll  do  that  in  a  minute. 
,i'll  do  that  in  a  minute.	the  cat  is  meowing.  he's  hungry. 
,the  cat  is  meowing.  he's  hungry.	okay.  i'll  feed  him  right  now. 
,okay.  i'll  feed  him  right  now.	you  shouldn't  make  him  wait. 
,you  shouldn't  make  him  wait.	i  was  doing  my  homework. 
,i  was  doing  my  homework.	the  cat  doesn't  care  about  your  homework. 
,the  cat  doesn't  care  about  your  homework.	the  cat  doesn't  care  about  anything. 
,the  cat  doesn't  care  about  anything.	that's  the  way  cats  are. 
,that's  the  way  cats  are.	all  they  think  about  is  themselves. 
,all  they  think  about  is  themselves.	maybe  we  should  get  rid  of  him. 
,maybe  we  should  get  rid  of  him.	of  course  not!  he's  family. 
,i  hate  shaving.	me  too. 
,me  too.	i  just  cut  myself  again. 
,i  just  cut  myself  again.	did  you  use  a  new  blade? 
,did  you  use  a  new  blade?	it  doesn't  matter.  old  blades  cut ,  new  blades  cut. 
,it  doesn't  matter.  old  blades  cut ,  new  blades  cut.	maybe  you  should  use  an  electric  shaver. 
,maybe  you  should  use  an  electric  shaver.	they  make  a  lot  of  noise ,  but  they  don't  give  a  close  shave. 
,they  make  a  lot  of  noise ,  but  they  don't  give  a  close  shave.	maybe  you  should  stop  shaving. 
,maybe  you  should  stop  shaving.	and  grow  a  beard? 
,and  grow  a  beard?	sure.  why  not? 
,sure.  why  not?	because  food  and  other  stuff  sticks  in  my  beard. 
,because  food  and  other  stuff  sticks  in  my  beard.	hmm.  here's  an  idea.  put  cream  on  your  face  and  have  the  cat  lick  it  off. 
,excuse  me.	yes? 
,yes?	are  you  reading  this  paper? 
,are  you  reading  this  paper?	oh ,  no.  help  yourself. 
,oh ,  no.  help  yourself.	i  asked  because  the  paper  is  sitting  next  to  you. 
,i  asked  because  the  paper  is  sitting  next  to  you.	thank  you.  that's  polite  of  you  to  ask. 
,thank  you.  that's  polite  of  you  to  ask.	some  people  would  just  pick  it  up. 
,some  people  would  just  pick  it  up.	yes ,  i  know.  some  people  are  rude. 
,yes ,  i  know.  some  people  are  rude.	i  always  try  to  be  polite. 
,i  always  try  to  be  polite.	so  do  i. 
,so  do  i.	the  world  needs  more  polite  people  like  us. 
,the  world  needs  more  polite  people  like  us.	i  agree  100  percent. 
