not  yet.	then  why  are  you  watching  tv? 
,then  why  are  you  watching  tv?	this  is  my  favorite  show. 
,this  is  my  favorite  show.	go  do  your  homework. 
,go  do  your  homework.	but ,  mom! 
,but ,  mom!	you  can  watch  tv  after  you  do  your  homework. 
,you  can  watch  tv  after  you  do  your  homework.	but  the  show  will  be  over. 
,but  the  show  will  be  over.	there  will  be  another  show  next  week. 
,there  will  be  another  show  next  week.	please? 
,please?	you  know  the  rules. 
,you  know  the  rules.	i  hate  the  rules!  i  can't  wait  till  i  grow  up. 
,i  can't  wait  until  i  graduate.	me  too. 
,me  too.	no  more  homework. 
,no  more  homework.	i  hate  homework. 
,i  hate  homework.	are  you  going  to  college? 
,are  you  going  to  college?	i  can't  afford  it. 
,i  can't  afford  it.	me  neither. 
,me  neither.	so  what  are  you  going  to  do? 
,so  what  are  you  going  to  do?	i'm  joining  the  army. 
,i'm  joining  the  army.	you're  kidding.  you  might  get  killed. 
,you're  kidding.  you  might  get  killed.	i  don't  think  so.  after  i  finish ,  i'll  have  enough  money  to  go  to  college. 
,i  don't  think  so.  after  i  finish ,  i'll  have  enough  money  to  go  to  college.	that's  not  a  bad  idea. 
,what  is  your  major?	english. 
,english.	what  are  you  going  to  do  with  an  english  major? 
,what  are  you  going  to  do  with  an  english  major?	i'm  going  to  be  a  teacher. 
,i'm  going  to  be  a  teacher.	high  school  or  middle  school? 
,high  school  or  middle  school?	high  school. 
,high  school.	i  teach  high  school  english. 
,i  teach  high  school  english.	i  didn't  know  that. 
,i  didn't  know  that.	i  started  teaching  five  years  ago. 
,i  started  teaching  five  years  ago.	how  do  you  like  it? 
,how  do  you  like  it?	do  you  see  all  this  gray  hair?  it  was  totally  black  five  years  ago. 
,do  you  see  all  this  gray  hair?  it  was  totally  black  five  years  ago.	maybe  i'll  teach  middle  school. 
,parking  at  school  is  impossible.	i'll  say. 
,i'll  say.	i  drove  around  for  half  an  hour. 
,i  drove  around  for  half  an  hour.	did  you  find  a  spot? 
,did  you  find  a  spot?	i  found  a  spot ,  but  someone  cut  in  and  took  it  from  me. 
,i  found  a  spot ,  but  someone  cut  in  and  took  it  from  me.	did  you  yell  at  them? 
,did  you  yell  at  them?	yes ,  i  did. 
,yes ,  i  did.	and? 
,and?	and  he  yelled  back  at  me. 
,and  he  yelled  back  at  me.	how  rude. 
,how  rude.	but  i  got  lucky  a  few  minutes  later. 
,but  i  got  lucky  a  few  minutes  later.	you  have  to  be  lucky  to  find  a  parking  space. 
,this  is  a  huge  library.	yes ,  it  has  lots  of  rooms  and  lots  of  space. 
,yes ,  it  has  lots  of  rooms  and  lots  of  space.	and  lots  of  books. 
,and  lots  of  books.	and  lots  of  thieves. 
,and  lots  of  thieves.	what  do  you  mean? 
,what  do  you  mean?	i  mean ,  keep  your  belongings  close  to  you. 
,i  mean ,  keep  your  belongings  close  to  you.	the  only  thing  in  my  backpack  is  used  books. 
,the  only  thing  in  my  backpack  is  used  books.	but  thieves  don't  know  that. 
