the  digital  signal  is  very  clear.	oh ,  no ,  it  isn't! 
,oh ,  no ,  it  isn't!	what  do  you  mean? 
,what  do  you  mean?	i  can't  get  a  single  channel. 
,i  can't  get  a  single  channel.	do  you  have  a  digital  tv? 
,do  you  have  a  digital  tv?	of  course.  but  i  don't  have  cable. 
,of  course.  but  i  don't  have  cable.	you  don't  need  to  have  cable ,  but  you  do  need  a  good  antenna. 
,you  don't  need  to  have  cable ,  but  you  do  need  a  good  antenna.	but  i  have  rabbit  ears. 
,but  i  have  rabbit  ears.	rabbit  ears  aren't  strong  enough.  buy  a  digital  antenna. 
,i've  got  a  date  for  you.	oh ,  really? 
,oh ,  really?	are  you  interested? 
,are  you  interested?	maybe.  what  is  she  like? 
,maybe.  what  is  she  like?	she's  got  a  great  personality. 
,she's  got  a  great  personality.	uh-oh.  that  means  that  she's  fat  and  ugly. 
,uh-oh.  that  means  that  she's  fat  and  ugly.	she's  cute. 
,she's  cute.	okay ,  so  she's  not  ugly;  she's  just  fat. 
,okay ,  so  she's  not  ugly;  she's  just  fat.	she  weighs  98  pounds. 
,she  weighs  98  pounds.	okay ,  she's  not  fat.  so  what's  the  problem  with  her? 
,okay ,  she's  not  fat.  so  what's  the  problem  with  her?	who  said  there  is  a  problem  with  her? 
,who  said  there  is  a  problem  with  her?	the  problem  is  she  has  no  problemsÂ—she's  too  good  for  me! 
,i  think  you're  very  pretty.	thank  you. 
,thank  you.	would  you  have  dinner  with  me? 
,would  you  have  dinner  with  me?	i  would  like  to. 
,i  would  like  to.	can  i  pick  you  up  friday  night? 
,can  i  pick  you  up  friday  night?	what  time? 
,what  time?	eight  o'clock. 
,eight  o'clock.	that  sounds  great. 
,that  sounds  great.	we'll  go  to  a  french  restaurant. 
,we'll  go  to  a  french  restaurant.	i've  never  been  to  a  french  restaurant. 
,i've  never  been  to  a  french  restaurant.	i  think  you'll  love  the  food. 
,i  think  you'll  love  the  food.	i'm  not  going  to  eat  any  snails! 
,you  have  pretty  eyes.	thank  you.  so  do  you. 
,thank  you.  so  do  you.	i  wish  my  eyes  were  blue. 
,i  wish  my  eyes  were  blue.	what's  the  matter  with  green  eyes? 
,what's  the  matter  with  green  eyes?	nothing ,  except  my  favorite  color  is  blue. 
,nothing ,  except  my  favorite  color  is  blue.	maybe  in  your  next  life  you'll  have  blue  eyes. 
,maybe  in  your  next  life  you'll  have  blue  eyes.	but  what  if  i'm  a  fish  in  my  next  life? 
,but  what  if  i'm  a  fish  in  my  next  life?	i  think  some  fish  have  blue  eyes. 
,i  think  some  fish  have  blue  eyes.	i  hope  i  don't  come  back  as  a  fish. 
,i  hope  i  don't  come  back  as  a  fish.	i  hope  i  come  back  as  a  cat. 
,i  hope  i  come  back  as  a  cat.	cats  have  beautiful  eyes. 
,cats  have  beautiful  eyes.	i  would  love  to  have  blue  cat-eyes. 
,i  love  you.	i  love  you ,  too. 
,i  love  you ,  too.	i  loved  you  the  first  day  i  saw  you. 
,i  loved  you  the  first  day  i  saw  you.	it  was  love  at  first  sight? 
,it  was  love  at  first  sight?	yes ,  it  was  love  at  first  sight. 
,yes ,  it  was  love  at  first  sight.	i  didn't  love  you  at  first. 
,i  didn't  love  you  at  first.	i  know.  i  had  to  chase  you  for  a  while. 
,i  know.  i  had  to  chase  you  for  a  while.	yes ,  you  chased  me  and  then  you  caught  me. 
,yes ,  you  chased  me  and  then  you  caught  me.	now  you're  mine  forever. 
,now  you're  mine  forever.	and  you're  mine  forever. 
