some  actress  was  in  court  for  driving  without  a  license.	what  was  the  second  story? 
,what  was  the  second  story?	some  actor  married  a  woman  young  enough  to  be  his  daughter. 
,some  actor  married  a  woman  young  enough  to  be  his  daughter.	what  was  the  third  story? 
,what  was  the  third  story?	a  bull  chased  a  man  in  a  supermarket. 
,a  bull  chased  a  man  in  a  supermarket.	wasn't  there  anything  about  octo-mom? 
,wasn't  there  anything  about  octo-mom?	of  course.  she's  going  to  hire  a  nanny  for  her  eight  infants. 
,what  are  you  going  to  do  about  your  death?	well ,  mostly  i'll  try  to  avoid  it. 
,well ,  mostly  i'll  try  to  avoid  it.	i  mean ,  are  you  going  to  get  buried  or  cremated? 
,i  mean ,  are  you  going  to  get  buried  or  cremated?	my  wife  and  i  will  be  cremated. 
,my  wife  and  i  will  be  cremated.	are  you  going  to  be  buried  next  to  each  other? 
,are  you  going  to  be  buried  next  to  each  other?	oh ,  no.  our  ashes  will  be  shaken  into  the  ocean. 
,oh ,  no.  our  ashes  will  be  shaken  into  the  ocean.	you're  not  going  to  be  buried? 
,you're  not  going  to  be  buried?	a  coffin  costs  too  much  and  takes  up  too  much  space. 
,a  coffin  costs  too  much  and  takes  up  too  much  space.	yes ,  but  it  will  be  in  a  cemetery  where  your  children  can  visit  you. 
,yes ,  but  it  will  be  in  a  cemetery  where  your  children  can  visit  you.	children  seldom  visit  their  parents  in  a  cemetery. 
,children  seldom  visit  their  parents  in  a  cemetery.	that's  true.  a  cemetery  is  for  dead  people ,  not  living  people. 
,that's  true.  a  cemetery  is  for  dead  people ,  not  living  people.	we  figure  our  kids  can  visit  us  whenever  they  go  to  the  beach. 
,did  you  wipe  your  feet?  	yes ,  of  course  i  wiped  my  feet. 
,yes ,  of  course  i  wiped  my  feet.	then  why  is  there  mud  on  the  carpet? 
,then  why  is  there  mud  on  the  carpet?	i  don't  know.  it's  not  my  mud. 
,i  don't  know.  it's  not  my  mud.	well ,  someone  brought  it  into  the  house. 
,well ,  someone  brought  it  into  the  house.	look  at  the  bottom  of  my  shoesÂ—they're  clean. 
,look  at  the  bottom  of  my  shoesÂ—they're  clean.	of  course  they're  clean.  you  left  all  the  mud  on  the  carpet. 
,of  course  they're  clean.  you  left  all  the  mud  on  the  carpet.	okay ,  i'll  get  the  vacuum  cleaner. 
,okay ,  i'll  get  the  vacuum  cleaner.	don't  vacuum  it  now. 
,don't  vacuum  it  now.	don't  you  want  me  to  clean  up  the  mud? 
,don't  you  want  me  to  clean  up  the  mud?	wait  till  it  dries.  it  will  be  easier  to  vacuum. 
,wait  till  it  dries.  it  will  be  easier  to  vacuum.	next  time  i  will  be  more  careful. 
,what  are  you  getting  for  your  mom?	what  are  you  talking  about? 
