so  go  then.	i  really  don't  want  to  go  by  myself. 
,i  really  don't  want  to  go  by  myself.	well  anyway ,  do  you  plan  on  going  to  school  tomorrow? 
,well  anyway ,  do  you  plan  on  going  to  school  tomorrow?	no ,  i  think  i'm  going  to  go  to  the  movies. 
,did  you  make  it  to  school  today?	i  always  do.  did  you  go  to  school  today? 
,i  always  do.  did  you  go  to  school  today?	no ,  i  didn't. 
,no ,  i  didn't.	you  should  have ,  but  have  you  seen  any  movies  lately? 
,you  should  have ,  but  have  you  seen  any  movies  lately?	that  was  an  odd  change  of  subject. 
,that  was  an  odd  change  of  subject.	maybe  it  was ,  but  answer  the  question. 
,maybe  it  was ,  but  answer  the  question.	no ,  not  recently. 
,no ,  not  recently.	i  want  to  go  to  see  a  movie  this  weekend. 
,i  want  to  go  to  see  a  movie  this  weekend.	what's  stopping  you  then? 
,what's  stopping  you  then?	i  don't  want  to  go  alone. 
,i  don't  want  to  go  alone.	so ,  will  you  be  at  school  tomorrow? 
,so ,  will  you  be  at  school  tomorrow?	no ,  i  want  to  go  to  the  movies  instead. 
,did  you  even  bother  to  go  to  school  today?	yeah ,  i  went.  did  you  go? 
,yeah ,  i  went.  did  you  go?	no ,  i  didn't  feel  like  it. 
,no ,  i  didn't  feel  like  it.	that's  nice ,  have  you  been  to  the  movies  lately? 
,that's  nice ,  have  you  been  to  the  movies  lately?	no ,  but  that  was  a  random  change  of  subject. 
,no ,  but  that  was  a  random  change  of  subject.	it  may  have  been  random ,  but  have  you? 
,it  may  have  been  random ,  but  have  you?	i  haven't  lately. 
,i  haven't  lately.	i  would  love  to  catch  a  movie  this  weekend. 
,i  would  love  to  catch  a  movie  this  weekend.	so  then ,  why  don't  you  just  go? 
,so  then ,  why  don't  you  just  go?	i  don't  want  to  see  a  movie  by  myself. 
,i  don't  want  to  see  a  movie  by  myself.	okay ,  so  are  you  going  to  school  tomorrow? 
,thanks  for  coming  to  see  me  today.	it's  no  problem.  i  was  really  missing  you  anyway. 
,it's  no  problem.  i  was  really  missing  you  anyway.	i  missed  you  too. 
,i  missed  you  too.	why  haven't  you  tried  to  come  see  me  then? 
,why  haven't  you  tried  to  come  see  me  then?	i've  been  really  busy. 
,i've  been  really  busy.	doing  what? 
,doing  what?	working. 
,working.	i  would've  come  to  see  you  sooner ,  but  i've  been  busy  too. 
,i  would've  come  to  see  you  sooner ,  but  i've  been  busy  too.	what  have  you  been  doing? 
,what  have  you  been  doing?	i've  been  working  too. 
,i've  been  working  too.	well  regardless ,  i'm  very  happy  that  you  came  to  see  me. 
,well  regardless ,  i'm  very  happy  that  you  came  to  see  me.	i  am  too. 
,i'm  really  glad  that  you  came  to  see  me.	i  had  to.  i  was  missing  you  a  lot. 
,i  had  to.  i  was  missing  you  a  lot.	i  was  missing  you  too. 
,i  was  missing  you  too.	so ,  why  haven't  you  visited  me? 
,so ,  why  haven't  you  visited  me?	i've  actually  been  busy  lately. 
,i've  actually  been  busy  lately.	what  have  you  been  doing? 
,what  have  you  been  doing?	i've  just  been  working  really  hard. 
,i've  just  been  working  really  hard.	i've  also  been  busy. 
,i've  also  been  busy.	tell  me  what  you've  been  doing. 
,tell  me  what  you've  been  doing.	basically ,  i've  been  working  too. 
,basically ,  i've  been  working  too.	well  whatever ,  i'm  glad  you  came. 
,well  whatever ,  i'm  glad  you  came.	so  am  i. 
,i'm  really  happy  that  you  came  to  visit  me.	i  really  missed  you  a  lot. 
,i  really  missed  you  a  lot.	i've  been  missing  you  like  crazy. 
,i've  been  missing  you  like  crazy.	i  don't  understand  why  you  haven't  come  to  visit  me. 
,i  don't  understand  why  you  haven't  come  to  visit  me.	lately ,  i've  been  quite  busy. 
