you're  right.  one  minute  it's  hot ,  and  then  the  next  minute  it's  cold.	i  really  wish  the  weather  would  just  stay  the  same. 
,i  really  wish  the  weather  would  just  stay  the  same.	i  do  too.  that  way  we  can  have  our  activities  planned  ahead  of  time. 
,i  do  too.  that  way  we  can  have  our  activities  planned  ahead  of  time.	yeah ,  that  would  make  things  a  lot  easier. 
,i  would  like  to  take  a  trip  to  the  beach  this  weekend.	a  trip  to  the  beach  would  be  fun.  how  is  the  weather  going  to  be? 
,a  trip  to  the  beach  would  be  fun.  how  is  the  weather  going  to  be?	the  forecast  says  that  it  will  be  warm  on  the  weekend. 
,the  forecast  says  that  it  will  be  warm  on  the  weekend.	so  do  you  think  it'll  be  perfect  weather  for  the  beach? 
,so  do  you  think  it'll  be  perfect  weather  for  the  beach?	it  sounds  like  it  will  be. 
,it  sounds  like  it  will  be.	i  really  hope  it  doesn't  get  cold. 
,i  really  hope  it  doesn't  get  cold.	that  would  ruin  things ,  i  want  to  go  so  badly. 
,that  would  ruin  things ,  i  want  to  go  so  badly.	the  weather  in  california  is  unpredictable ,  so  you  never  know. 
,the  weather  in  california  is  unpredictable ,  so  you  never  know.	that  is  true.  the  weather  is  constantly  changing. 
,that  is  true.  the  weather  is  constantly  changing.	it  would  be  nice  if  the  weather  would  never  change. 
,it  would  be  nice  if  the  weather  would  never  change.	that  would  be  great ,  then  we  could  plan  things  sooner. 
,that  would  be  great ,  then  we  could  plan  things  sooner.	true.  predictable  weather  would  make  life  easier. 
,it  would  be  nice  to  go  to  the  beach  sometime  this  weekend.	what's  the  weather  going  to  be  like?  i  may  want  to  go  too. 
,what's  the  weather  going  to  be  like?  i  may  want  to  go  too.	the  weather  this  weekend  is  supposed  to  be  warm. 
,the  weather  this  weekend  is  supposed  to  be  warm.	will  it  be  good  beach  weather? 
,will  it  be  good  beach  weather?	i  think  it  will  be. 
,i  think  it  will  be.	it  wouldn't  be  good  if  it  got  cold  this  weekend. 
,it  wouldn't  be  good  if  it  got  cold  this  weekend.	i  want  this  trip  to  be  perfect ,  i  hope  it  stays  warm. 
,i  want  this  trip  to  be  perfect ,  i  hope  it  stays  warm.	this  california  weather  is  so  uncertain ,  it's  impossible  to  know  what'll  happen. 
,this  california  weather  is  so  uncertain ,  it's  impossible  to  know  what'll  happen.	i  know.  every  day  the  weather  seems  different. 
,i  know.  every  day  the  weather  seems  different.	i  would  love  it  if  it  wasn't  always  so  unpredictable. 
,i  would  love  it  if  it  wasn't  always  so  unpredictable.	that  would  make  it  easier  for  us  to  make  plans. 
,hello ,  may  i  speak  to  alice  please?	this  is  she.  how's  it  going? 
,this  is  she.  how's  it  going?	i've  been  trying  to  call  you  all  day. 
,i've  been  trying  to  call  you  all  day.	sorry  about  that.  i  was  cleaning  up. 
,sorry  about  that.  i  was  cleaning  up.	it's  okay. 
,it's  okay.	so  what  were  you  calling  me  about? 
,so  what  were  you  calling  me  about?	oh ,  i  just  wanted  to  see  if  you  wanted  to  hang  out  tomorrow. 
,oh ,  i  just  wanted  to  see  if  you  wanted  to  hang  out  tomorrow.	sure ,  what  did  you  want  to  do? 
,sure ,  what  did  you  want  to  do?	maybe  we  can  go  see  a  movie  or  something. 
,maybe  we  can  go  see  a  movie  or  something.	that  sounds  like  fun.  let's  do  it. 
,that  sounds  like  fun.  let's  do  it.	i'll  see  you  tomorrow  then. 
,i'll  see  you  tomorrow  then.	see  you  then.  goodbye. 
,hi ,  how  are  you.  is  alice  there?	speaking.  what's  up? 
,speaking.  what's  up?	why  haven't  you  answered  the  phone? 
,why  haven't  you  answered  the  phone?	my  bad ,  i  had  chores  to  do. 
,my  bad ,  i  had  chores  to  do.	that's  all  right. 
,that's  all  right.	what  was  the  reason  for  your  call? 
,what  was  the  reason  for  your  call?	i  want  to  do  something  tomorrow  with  you. 
,i  want  to  do  something  tomorrow  with  you.	sounds  good.  what  did  you  have  in  mind? 
